CZ,FFH,NoS,Ori,WWR,FA,FPV,RPV,Tilt,FPV-ty,RPV-ty,EWI-thk,IWI-thk,RI-thk,EWI-mat,IWI-mat,RI-mat,IWS,WFrm,WGlz,FrmL,WinA,EWA,IWA,GFA,FRad,RRad,FPVout,RPVout,PVout,EUse,NEUse,EUI,NEUI,EmbCE,EmbCI,OpCE,OpCI,TotCE,TotCI
4,2.9,4,5,0.25,950,0,0,25,5,3,0.07,0.01,0.05,0,1,1,3,1,1,1569.608,517.573,2070.291,3258.199,3800,669.352,1641.49,0,0,0,265862.647,265862.647,69.964,69.96385447,691272.29,181.914,103686.4323,27.28590324,5875593.907,1546.209162
4,3.6,5,-20,0.2,1100,1,1,25,6,2,0.07,0.05,0.04,3,0,0,0,0,2,2003.72,690.873,3454.363,5514.735,5500,646.675,1628.101,218738.731,167450.172,386188.903,397500.596,11311.693,72.273,2.056671455,2321660.377,422.12,4411.56027,0.802101867,2542238.391,462.2250934
4,3.5,7,20,0.15,1400,1,1,5,6,3,0.04,0.05,0.05,2,1,0,4,2,2,2642.468,795.911,5306.074,8456.673,9800,648.478,1491.886,357988.451,213041.378,571029.829,650162.185,79132.356,66.343,8.074730204,3742478.249,381.886,30861.61884,3.14914478,5285559.191,539.343239
4,2.9,7,10,0.4,950,0,0,35,4,2,0.1,0.01,0.06,3,3,1,1,2,4,3263.076,1449.204,3623.01,5701.848,6650,638.234,1654.969,0,0,0,547953.646,547953.646,82.399,82.39904451,1149731.693,172.892,213701.9219,32.13562736,11834827.79,1779.673368
4,3.1,7,5,0.2,1150,1,0,35,2,6,0.03,0.05,0.08,2,1,0,5,2,0,2695.781,852.032,4260.16,6736.628,8050,640.171,1659.733,326394.987,0,326394.987,553368.066,226973.079,68.741,28.19541354,2235853.416,277.746,88519.50081,10.99621128,6661828.457,827.556564
4,3.6,2,30,0.45,1100,0,1,40,3,1,0.06,0.02,0.08,3,2,0,2,2,2,1129.642,621.785,1381.745,2205.894,2200,702.778,1603.764,0,149951.943,149951.943,159754.941,9802.998,72.616,4.455908182,625559.316,284.345,3823.16922,1.737804191,816717.777,371.2352095
4,3.4,2,-15,0.15,1450,0,0,10,4,1,0.09,0.01,0.09,3,1,3,2,1,2,752.511,224.792,1498.615,2384.193,2900,717.233,1541.757,0,0,0,187874.249,187874.249,64.784,64.78422379,579596.678,199.861,73270.95711,25.26584728,4243144.534,1463.153364
4,3.3,1,15,0.1,1200,1,0,40,1,3,0.03,0.01,0.03,3,1,2,1,0,0,332.347,66.176,661.755,1050.813,1200,750.041,1641.968,60752.421,0,60752.421,95777.449,35025.028,79.815,29.18752333,386558.013,322.132,13659.76092,11.3831341,1069546.059,891.288705
4,3.6,7,20,0.5,1250,1,1,25,3,5,0.08,0.04,0.05,1,3,1,3,0,3,4337.072,2579.763,5159.525,8236.952,8750,649.123,1625.216,273292.182,86339.623,359631.805,628399.987,268768.182,71.817,30.71636366,2343753.259,267.858,104819.591,11.97938183,7584732.808,866.8270913
4,3.5,7,-5,0.3,1300,0,1,30,1,6,0.04,0.02,0.06,1,3,3,2,1,1,3343.952,1534.34,5114.466,8151.293,9100,642.358,1655.633,0,164652.709,164652.709,668490.617,503837.908,73.461,55.36680308,2048470.183,225.107,196496.7841,21.5930532,11873309.39,1304.75966
4,3.6,7,0,0.35,1450,1,0,10,5,4,0.1,0.03,0.08,1,2,3,2,3,0,3732.919,1943.792,5553.691,8866.219,10150,644.975,1545.451,158323.924,0,158323.924,705136.107,546812.183,69.472,53.87312148,2648969.898,260.982,213256.7514,21.01051738,13311807.47,1311.507869
4,3.3,5,15,0.25,1400,0,1,0,3,2,0.09,0.05,0.04,2,1,1,5,0,0,2196.086,893.37,3573.479,5674.391,7000,634.018,1439.759,0,188464.408,188464.408,457508.663,269044.255,65.358,38.43489357,1472420.73,210.346,104927.2595,14.98960849,6718783.703,959.8264246
4,3.2,3,-25,0.25,1050,0,1,40,5,4,0.05,0.02,0.06,0,3,1,3,1,3,1235.927,449.994,1799.974,2852.449,3150,685.374,1624.569,0,130493.491,130493.491,218417.782,87924.291,69.339,27.91247333,706439.414,224.266,34290.47349,10.8858646,2420963.089,768.55923
4,3.5,2,15,0.2,1450,0,0,20,6,5,0.07,0.04,0.04,0,0,3,2,3,1,832.067,308.538,1542.692,2458.699,2900,716.985,1610.45,0,0,0,197649.961,197649.961,68.155,68.15515897,573996.458,197.93,77083.48479,26.580512,4428170.698,1526.9556
4,3,2,30,0.4,1150,0,0,5,3,4,0.09,0.03,0.03,0,2,0,3,2,1,986.562,471.17,1177.924,1858.38,2300,712.85,1487.216,0,0,0,166109.208,166109.208,72.221,72.22139478,371630.058,161.578,64782.59112,28.16634397,3610759.614,1569.895198
4,3.2,3,-15,0.4,1350,1,1,40,4,3,0.09,0.04,0.09,0,0,0,2,2,1,1584.586,817.015,2042.538,3236.844,4050,686.982,1645.481,103050.014,226582.71,329632.724,255361.79,-74270.934,63.052,-18.33850222,1128097.675,278.543,-28965.66426,-7.152015867,-320185.538,-79.05779333
