CZ,FFH,NoS,Ori,WWR,FA,FPV,RPV,Tilt,FPV-ty,RPV-ty,EWI-thk,IWI-thk,RI-thk,EWI-mat,IWI-mat,RI-mat,IWS,WFrm,WGlz,FrmL,WinA,EWA,IWA,GFA,FRad,RRad,FPVout,RPVout,PVout,EUse,NEUse,EUI,NEUI,EmbCE,EmbCI,OpCE,OpCI,TotCE,TotCI
2,3.4,7,-15,0.35,1400,0,1,35,6,4,0.05,0.02,0.03,3,1,2,0,2,1,6877.539,2670.861,7631.032,10208.329,9800,532.102,1715.478,0,183727.693,183727.693,1170093.81,986366.117,119.397,100.65,2419007.613,246.838,384682.786,39.253,21653146.89,2209.505
5,3.1,2,0,0.5,950,1,0,25,4,6,0.08,0.05,0.04,2,3,3,3,3,4,2057.063,819.095,1638.19,2178.216,1900,642.673,1595.845,64432.587,0,64432.587,249380.454,184947.867,131.253,97.341,594682.604,312.991,72129.668,37.963,4201166.005,2211.14
4,3.1,6,-25,0.35,1000,0,0,40,6,4,0.08,0.01,0.06,0,0,1,5,0,3,5032.32,1764.551,5041.576,6703.52,6000,543.024,1624.569,0,0,0,606398.069,606398.069,101.066,101.066,1504874.608,250.812,236495.247,39.416,13329636.96,2221.606
0,3.5,3,-10,0.5,1000,0,0,5,6,5,0.04,0.03,0.08,2,0,0,5,1,4,3405.164,1423.025,2846.051,3814.072,3000,631.552,1557.614,0,0,0,300002.027,300002.027,100.001,100.001,841331.043,280.444,117000.791,39,6691370.57,2230.457
5,3.4,2,30,0.15,1250,1,0,15,6,2,0.07,0.01,0.06,2,2,0,2,0,0,1218.748,309.178,2061.186,2757.329,2500,655.931,1498.49,140661.725,0,140661.725,363011.983,222350.258,145.205,88.94,1244100.494,497.64,86716.601,34.687,5579930.52,2231.972
0,3.1,6,20,0.45,1200,0,0,15,6,1,0.05,0.03,0.08,2,0,3,4,2,0,6216.58,2484.895,5521.989,7342.3,7200,587.77,1656.816,0,0,0,740330.672,740330.672,102.824,102.824,1660845.795,230.673,288728.962,40.101,16097293.9,2235.735
2,3.2,4,-5,0.45,1050,1,0,20,3,2,0.07,0.03,0.03,0,0,2,3,3,0,4049.504,1598.883,3553.073,4734.518,4200,584.509,1740.861,186413.999,0,186413.999,595804.073,409390.074,141.858,97.474,1409715.186,335.646,159662.129,38.015,9392821.636,2236.386
5,3.1,7,-15,0.2,1250,1,0,5,4,2,0.05,0.05,0.09,1,0,0,3,3,0,4649.331,1315.522,6577.609,8745.903,8750,539.807,1397.924,347678.283,0,347678.283,1206662.936,858984.653,137.904,98.17,2854239.039,326.199,335004.015,38.286,19604439.77,2240.507
5,3.5,4,-20,0.45,950,1,1,5,4,4,0.04,0.02,0.06,3,2,0,0,0,2,4157.565,1664.612,3699.139,4957.319,3800,566.348,1395.475,141035.322,101416.118,242451.44,600933.716,358482.276,158.14,94.337,1551027.958,408.165,139808.088,36.792,8541432.337,2247.745
5,3.3,5,-10,0.4,1150,1,0,5,3,3,0.05,0.04,0.08,3,0,0,4,3,2,4929.806,1918.268,4795.669,6403.203,5750,548.946,1399.856,257780.404,0,257780.404,806601.294,548820.89,140.278,95.447,2267378.573,394.327,214040.147,37.224,12969385.93,2255.545
5,3.1,2,20,0.4,1450,0,1,25,2,1,0.03,0.03,0.03,1,1,0,0,1,0,2040.722,809.155,2022.888,2689.729,2900,669.1,1586.533,0,195540.231,195540.231,486844.228,291303.997,167.877,100.45,862242.033,297.325,113608.559,39.175,6542669.977,2256.093
0,3.5,6,-5,0.25,1200,0,0,25,5,2,0.03,0.04,0.04,3,3,0,5,3,4,4693.773,1558.626,6234.503,8355.031,7200,574.368,1740.893,0,0,0,736780.159,736780.159,102.331,102.331,1913105.517,265.709,287344.262,39.909,16280318.62,2261.155
5,3.5,4,-20,0.5,1100,1,1,20,2,3,0.07,0.04,0.08,1,1,1,2,3,1,4690.547,1988.807,3977.613,5330.51,4400,575.057,1536.555,171094.217,172401.452,343495.669,767634.024,424138.355,174.462,96.395,1710621.115,388.778,165413.958,37.594,9981319.031,2268.482
5,3.5,7,-15,0.1,950,1,0,20,4,5,0.1,0.04,0.1,1,0,2,1,0,3,3550.841,647.349,6473.493,8675.308,6650,519.812,1545.242,370688.35,0,370688.35,991674.098,620985.749,149.124,93.381,2978750.797,447.932,242184.442,36.419,15087972.9,2268.868
0,3.5,5,-15,0.5,950,0,0,5,4,4,0.07,0.05,0.06,2,3,1,2,1,2,5577.047,2311.962,4623.923,6196.648,4750,577.476,1556.25,0,0,0,482489.823,482489.823,101.577,101.577,1374228.417,289.311,188171.031,39.615,10782779.97,2270.059
5,3.3,6,20,0.15,1250,1,0,15,2,5,0.03,0.02,0.03,3,0,0,1,2,3,3611.395,900.253,6001.689,8013.488,7500,554.938,1510.511,423514.858,0,423514.858,1151377.227,727862.369,153.517,97.048,2928037.466,390.405,283866.324,37.849,17121353.66,2282.847
0,3.2,1,20,0.45,1250,0,0,0,2,5,0.07,0.01,0.06,1,3,3,0,3,1,1072.82,436.486,969.97,1292.498,1250,755.72,1492.553,0,0,0,131486.674,131486.674,105.189,105.189,291884.627,233.508,51279.803,41.024,2855874.776,2284.7
1,3.6,3,10,0.15,1000,1,0,35,2,5,0.09,0.05,0.04,2,0,1,5,1,3,1787.577,439.105,2927.366,3929.65,3000,782.65,2312.224,291336.864,0,291336.864,566322.629,274985.765,188.774,91.662,1503754.758,501.252,107244.448,35.748,6865977.181,2288.659
